District,Year,Season,Area,Production,Yield
Ambala, 1998-99,Whole Year ,2567,40200,15.66
Ambala, 1999-00,Whole Year ,2556,40200,15.73
Ambala, 2000-01,Whole Year ,1882,29600,15.73
Ambala, 2001-02,Whole Year ,1698,37500,22.08
Ambala, 2002-03,Whole Year ,2300,62400,27.13
Ambala, 2003-04,Whole Year ,1221,33000,27.03
Ambala, 2004-05,Whole Year ,2019,54500,26.99
Ambala, 2005-06,Whole Year ,2654,71600,26.98
Ambala, 2006-07,Whole Year ,2690,72600,26.99
Ambala, 2007-08,Whole Year ,1947,24100,12.38
Ambala, 2008-09,Whole Year ,2150,23000,10.7
Ambala, 2009-10,Whole Year ,1698,26600,15.67
Ambala, 2010-11,Whole Year ,1662,33400,20.1
Ambala, 2011-12,Whole Year ,1874,41300,22.04
Ambala, 2012-13,Whole Year ,1817,43700,24.05
Bhiwani, 1998-99,Whole Year ,31,500,16.13
Bhiwani, 1999-00,Whole Year ,6,100,16.67
Bhiwani, 2000-01,Whole Year ,11,200,18.18
Bhiwani, 2001-02,Whole Year ,1225,23700,19.35
Bhiwani, 2007-08,Whole Year ,2,,0
Faridabad, 1998-99,Whole Year ,383,5700,14.88
Faridabad, 1999-00,Whole Year ,120,1900,15.83
Faridabad, 2000-01,Whole Year ,66,1000,15.15
Faridabad, 2001-02,Whole Year ,214,4400,20.56
Faridabad, 2002-03,Whole Year ,347,6600,19.02
Faridabad, 2003-04,Whole Year ,251,4900,19.52
Faridabad, 2004-05,Whole Year ,255,4800,18.82
Faridabad, 2005-06,Whole Year ,249,4700,18.88
Faridabad, 2006-07,Whole Year ,183,3500,19.13
Faridabad, 2008-09,Whole Year ,85,1900,22.35
Faridabad, 2009-10,Whole Year ,74,1600,21.62
Fatehbad, 1998-99,Whole Year ,685,9600,14.01
Fatehbad, 1999-00,Whole Year ,681,10700,15.71
Fatehbad, 2000-01,Whole Year ,459,7200,15.69
Fatehbad, 2001-02,Whole Year ,279,6300,22.58
Fatehbad, 2002-03,Whole Year ,255,6500,25.49
Fatehbad, 2003-04,Whole Year ,345,8800,25.51
Fatehbad, 2004-05,Whole Year ,252,6500,25.79
Fatehbad, 2005-06,Whole Year ,363,9300,25.62
Fatehbad, 2006-07,Whole Year ,349,8900,25.5
Fatehbad, 2007-08,Whole Year ,360,5700,15.83
Fatehbad, 2008-09,Whole Year ,129,3700,28.68
Fatehbad, 2009-10,Whole Year ,119,2800,23.53
Fatehbad, 2010-11,Whole Year ,320,9400,29.38
Fatehbad, 2011-12,Whole Year ,197,3900,19.8
Fatehbad, 2012-13,Whole Year ,225,4700,20.89
Gurgaon, 1998-99,Whole Year ,40,600,15
Gurgaon, 1999-00,Whole Year ,16,300,18.75
Gurgaon, 2000-01,Whole Year ,27,500,18.52
Gurgaon, 2001-02,Whole Year ,16,400,25
Gurgaon, 2002-03,Whole Year ,8,200,25
Gurgaon, 2006-07,Whole Year ,2,,0
Gurgaon, 2010-11,Whole Year ,3,100,33.33
Gurgaon, 2011-12,Whole Year ,12,300,25
Hisar, 1998-99,Whole Year ,350,4900,14
Hisar, 1999-00,Whole Year ,390,6100,15.64
Hisar, 2000-01,Whole Year ,272,4300,15.81
Hisar, 2001-02,Whole Year ,86,1600,18.6
Hisar, 2002-03,Whole Year ,174,3000,17.24
Hisar, 2003-04,Whole Year ,254,4500,17.72
Hisar, 2004-05,Whole Year ,200,3500,17.5
Hisar, 2005-06,Whole Year ,157,2700,17.2
Hisar, 2006-07,Whole Year ,216,3800,17.59
Hisar, 2007-08,Whole Year ,250,4200,16.8
Hisar, 2008-09,Whole Year ,76,1100,14.47
Hisar, 2009-10,Whole Year ,173,3200,18.5
Hisar, 2010-11,Whole Year ,151,2500,16.56
Hisar, 2011-12,Whole Year ,229,3200,13.97
Hisar, 2012-13,Whole Year ,145,3400,23.45
Jhajjar, 1998-99,Whole Year ,9,100,11.11
Jhajjar, 1999-00,Whole Year ,1,100,100
Jhajjar, 2001-02,Whole Year ,15,300,20
Jhajjar, 2002-03,Whole Year ,21,400,19.05
Jhajjar, 2003-04,Whole Year ,19,300,15.79
Jhajjar, 2004-05,Whole Year ,10,200,20
Jhajjar, 2005-06,Whole Year ,6,100,16.67
Jhajjar, 2006-07,Whole Year ,4,100,25
Jind, 1998-99,Whole Year ,56,800,14.29
Jind, 2005-06,Whole Year ,15,400,26.67
Jind, 2010-11,Whole Year ,341,8800,25.81
Jind, 2011-12,Whole Year ,252,5600,22.22
Jind, 2012-13,Whole Year ,303,6800,22.44
Kaithal, 1998-99,Whole Year ,274,3700,13.5
Kaithal, 1999-00,Whole Year ,357,5600,15.69
Kaithal, 2000-01,Whole Year ,197,3100,15.74
Kaithal, 2001-02,Whole Year ,202,3600,17.82
Kaithal, 2002-03,Whole Year ,248,5900,23.79
Kaithal, 2003-04,Whole Year ,197,4700,23.86
Kaithal, 2004-05,Whole Year ,199,4700,23.62
Kaithal, 2005-06,Whole Year ,103,2500,24.27
Kaithal, 2006-07,Whole Year ,180,4300,23.89
Kaithal, 2007-08,Whole Year ,159,2600,16.35
Kaithal, 2008-09,Whole Year ,238,3800,15.97
Kaithal, 2009-10,Whole Year ,223,4500,20.18
Kaithal, 2010-11,Whole Year ,282,6100,21.63
Kaithal, 2011-12,Whole Year ,3,100,33.33
Kaithal, 2012-13,Whole Year ,348,8900,25.57
Karnal, 1998-99,Whole Year ,1125,18000,16
Karnal, 1999-00,Whole Year ,1155,28400,24.59
