Month,crude_oil_price,diesel_price
Jun 2006,3145.13,96.3
Jul 2006,3368.54,102.99
Aug 2006,3341.97,104.57
Sep 2006,2858.12,83.48
Oct 2006,2634.9,81.57
Nov 2006,2607.54,81.24
Dec 2006,2722.71,81.82
Jan 2007,2367.73,72.27
Feb 2007,2542.87,77.68
Mar 2007,2667.95,83.25
Apr 2007,2744.03,86.54
May 2007,2655.56,83.38
Jun 2007,2779.56,86.42
Jul 2007,2977.47,86.73
Aug 2007,2862.54,85.96
Sep 2007,3102.55,93.59
Oct 2007,3246.01,95.5
Nov 2007,3599.69,106.49
Dec 2007,3527.12,103.77
Jan 2008,3575.83,101.98
Feb 2008,3724.64,110.21
Mar 2008,4109.92,131.28
Apr 2008,4365.33,137.83
May 2008,5171.75,160.96
Jun 2008,5631.69,166.44
Jul 2008,5677.98,164.71
Aug 2008,4919.52,140.54
Sep 2008,4524.05,138.56
Oct 2008,3535.8,116.6
Nov 2008,2648.14,94.23
Dec 2008,2020.1,69.85
Jan 2009,2144.56,73.06
Feb 2009,2055.52,64.28
Mar 2009,2407.13,68.6
Apr 2009,2517.58,72.55
May 2009,2819.83,73.77
Jun 2009,3302.59,86.95
Jul 2009,3136.03,83.53
Aug 2009,3461.09,93.11
Sep 2009,3312.26,86.95
Oct 2009,3461.1,92.6
Nov 2009,3611.89,93.04
Dec 2009,3491.65,92.33
Jan 2010,3541.88,94.88
Feb 2010,3461.46,94.27
Mar 2010,3607.99,98.23
Apr 2010,3744.14,101.64
May 2010,3457.51,97.77
Jun 2010,3479.77,98.16
Jul 2010,3492.91,96.84
Aug 2010,3533.47,98.81
Sep 2010,3503.86,100.13
Oct 2010,3629.8,102.2
Nov 2010,3793.46,106.67
Dec 2010,4068.37,112.92
Jan 2011,4205.3,119.91
Feb 2011,4442.32,129.09
Mar 2011,4888.11,140.86
Apr 2011,5162.95,145.19
May 2011,4856.74,136.26
Jun 2011,4747.57,136.98
Jul 2011,4791.52,140.8
Aug 2011,4548.23,136.29
Sep 2011,4812.4,142.23
Oct 2011,4920.06,148.11
Nov 2011,5340.76,156.89
Dec 2011,5488.3,154.61
Jan 2012,5475.69,157.78
Feb 2012,5540.75,158.45
Mar 2012,5927.55,166.17
Apr 2012,5892.63,167.95
May 2012,5659.74,162.3
Jun 2012,5083.6,151.84
Jul 2012,5372.19,162.19
Aug 2012,5849.31,176.62
Sep 2012,5800.66,176.17
Oct 2012,5475.37,171.37
Nov 2012,5536.01,174.01
Dec 2012,5525.53,167.67
Jan 2013,5705.06,168.53
Feb 2013,5786.01,173.97
Mar 2013,5580.74,165.18
Apr 2013,5375.04,157.69
May 2013,5467.56,158.94
Jun 2013,5817.69,168.63
Jul 2013,6289.39,180.41
Aug 2013,6830.35,193.92
Sep 2013,6928.11,194.12
Oct 2013,6499.62,184.59
Nov 2013,6432.65,184.24
Dec 2013,6534.9,188.63
Jan 2014,6353.32,193.68
Feb 2014,6528.65,200.99
Mar 2014,6343,182.47
Apr 2014,6333.82,178.53
May 2014,6274.31,174.29
Jun 2014,6471.05,176.87
Jul 2014,6319.91,172.92
Aug 2014,6092.56,173.55
Sep 2014,5838.13,166.82
Oct 2014,5283.91,155.39
Nov 2014,4746.68,149.94
Dec 2014,3797.15,127.55
Jan 2015,2948.32,104.26
Feb 2015,3407.19,123.5
Mar 2015,3299.23,115.91
Apr 2015,3603.29,115.65
May 2015,3988.14,125.39
Jun 2015,3914.66,120.57
Jul 2015,3464.24,106.73
Aug 2015,2975.11,98.65
Sep 2015,3065.09,100.18
Oct 2015,3055.95,95.79
Nov 2015,2848.76,93.33
Dec 2015,2434.73,75.79
Jan 2016,2013.42,65.88
Feb 2016,2118.95,70.7
Mar 2016,2503.95,79.8
Apr 2016,2708.63,82.89
May 2016,3075.42,94.91
